"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.939417300E-2,-1.442872047E0,7.759325504E0,5.971887112E0,9.897092891E0
4.187136000E-2,-1.399801254E0,7.740182877E0,5.986244202E0,9.884583661E0
4.434849600E-2,-1.328016520E0,7.711469173E0,5.967101574E0,9.840563291E0
4.682573500E-2,-1.337587833E0,7.682755470E0,5.957530022E0,9.813563919E0
4.930287100E-2,-1.289731383E0,7.677969456E0,6.024528980E0,9.844265917E0
5.178005800E-2,-1.304088354E0,7.677969456E0,6.029314995E0,9.849086288E0
5.423505800E-2,-1.284945726E0,7.673183918E0,6.024528980E0,9.839907845E0
5.669005800E-2,-1.280160069E0,7.625327587E0,6.053243160E0,9.819683466E0
5.914505800E-2,-1.232303619E0,7.620542049E0,6.067600250E0,9.818706948E0
6.160005800E-2,-1.246660590E0,7.630113125E0,6.081956863E0,9.836817992E0
6.405505800E-2,-1.213161111E0,7.639684677E0,6.086742401E0,9.843016555E0
6.651005800E-2,-1.194018483E0,7.615756035E0,6.120242119E0,9.842905248E0
6.896505800E-2,-1.184447169E0,7.654041290E0,6.177670002E0,9.907112083E0
7.142005800E-2,-1.189232826E0,7.634898663E0,6.187241077E0,9.898884000E0
7.396505800E-2,-1.184447169E0,7.644470215E0,6.192026615E0,9.908684755E0
7.649386000E-2,-1.184447169E0,7.668398380E0,6.206383705E0,9.936118332E0
7.897057900E-2,-1.189232826E0,7.687541008E0,6.211169243E0,9.954455526E0
8.144729800E-2,-1.150947690E0,7.644470215E0,6.211169243E0,9.916714618E0
8.392401700E-2,-1.131805062E0,7.649255753E0,6.201598167E0,9.912210455E0
8.640073500E-2,-1.098305583E0,7.567899704E0,6.206383705E0,9.848785701E0
8.887745400E-2,-1.127019525E0,7.572685242E0,6.153741837E0,9.822640855E0
9.135417300E-2,-1.083948612E0,7.567899704E0,6.120242119E0,9.793130966E0
9.380599600E-2,-1.150947690E0,7.601399422E0,6.163312912E0,9.853546560E0
9.628214200E-2,-1.184447169E0,7.601399422E0,6.139384747E0,9.842572496E0
9.875823500E-2,-1.170090318E0,7.610970497E0,6.134599209E0,9.845267427E0
1.012342770E-1,-1.179661512E0,7.639684677E0,6.187241077E0,9.901430977E0
1.037103710E-1,-1.213161111E0,7.634898663E0,6.187241077E0,9.901787193E0
1.061864650E-1,-1.208375454E0,7.620542049E0,6.220740795E0,9.911127504E0
1.086625580E-1,-1.208375454E0,7.639684677E0,6.282954216E0,9.964961961E0
1.111386520E-1,-1.222732425E0,7.663612843E0,6.316453457E0,1.000617912E1
1.135947980E-1,-1.299302697E0,7.663612843E0,6.292525291E0,1.000075116E1
1.160703710E-1,-1.313659668E0,7.701898098E0,6.345167637E0,1.006509257E1
1.185459960E-1,-1.347159147E0,7.711469173E0,6.349953175E0,1.007985614E1
1.210215690E-1,-1.347159147E0,7.654041290E0,6.340381622E0,1.002993644E1
1.234971420E-1,-1.337587833E0,7.682755470E0,6.340381622E0,1.005058764E1
1.259727670E-1,-1.371087432E0,7.701898098E0,6.378666878E0,1.009388459E1
